client_id,type_id,amount,dttm
38,3,205.53481727598026,2019-10-10 20:06:23
49,3,958.511121377627,2020-01-03 01:45:55
35,0,71.04849909097831,2020-02-04 01:53:49
43,1,452.09392501370917,2020-02-15 01:25:46
72,4,80.53382899767692,2019-12-28 12:37:06
72,1,978.9494838925359,2019-06-11 08:17:16
95,0,968.8652903838135,2019-01-28 13:09:54
13,2,776.4085572455921,2019-02-01 20:15:09
12,2,845.5636057177207,2019-01-19 21:16:12
97,1,550.1269872447879,2020-06-10 23:24:27
5,1,798.1651214250483,2020-12-04 06:32:35
15,0,464.33880791043697,2020-05-23 05:28:55
20,0,224.1763173316363,2020-06-20 17:19:29
43,1,807.8352895118501,2019-08-20 21:48:38
63,1,607.6208786573195,2019-03-06 19:39:50
84,3,363.8012653568077,2020-10-02 18:55:15
77,1,169.9504785321385,2020-04-01 07:55:16
25,3,302.07584523848607,2019-07-06 22:59:51
69,1,101.96224549472889,2019-07-19 07:27:58
96,1,289.3512677396866,2020-07-26 09:56:47
9,0,876.7038550429605,2020-04-24 06:55:03
90,3,726.6892023478928,2019-08-07 15:48:50
17,2,98.6458323495868,2019-08-24 16:54:04
93,1,802.6483562394143,2020-08-12 11:00:30
50,2,616.8180901368751,2019-07-28 18:40:32
16,2,403.26740471077784,2019-06-25 04:26:38
93,0,228.50120310758646,2019-02-12 09:25:38
5,2,86.60608279530743,2020-01-08 10:13:29
31,2,18.905233674851313,2020-06-13 03:57:46
9,1,122.493342370232,2020-02-13 12:56:11
97,1,968.2939198432823,2019-03-18 00:49:13
68,3,325.6807362997641,2019-09-16 00:32:41
40,3,939.3387132484904,2019-11-18 17:29:27
41,4,503.38353439288136,2020-12-25 14:35:38
4,3,385.42939409184396,2019-02-25 22:10:39
88,3,402.7109379979372,2019-09-14 11:39:00
41,3,652.4960034857094,2019-01-16 10:37:26
64,1,278.3550587429081,2019-12-16 08:02:23
11,3,310.21453101067937,2019-02-08 18:46:15
28,3,166.1691783166149,2019-05-05 23:18:43
71,2,661.807549248154,2019-10-05 11:35:52
19,4,378.7601115039037,2019-07-20 02:57:43
98,4,48.74942548388844,2019-02-18 19:34:40
68,2,456.42135243168303,2019-11-12 14:16:09
84,2,672.3673686990422,2019-01-07 06:19:33
57,1,484.8856016105845,2020-11-24 09:27:22
18,1,990.963708975025,2020-11-27 21:07:43
49,4,61.05992215699689,2019-11-04 08:39:11
85,0,491.6460589398774,2020-10-15 23:23:51
12,1,70.7550200100457,2019-06-22 20:14:21
78,3,706.2009434411254,2019-09-08 22:02:01
8,0,988.2815855096648,2019-12-08 19:29:43
10,3,422.4480269855575,2019-07-13 04:01:24
24,3,86.1279784807027,2020-03-24 22:25:47
32,1,572.9004792238069,2020-12-27 01:22:12
33,0,515.3309912496615,2020-07-18 22:24:45
23,1,117.62340589900462,2019-08-09 14:53:27
50,0,159.8543011882992,2019-12-16 16:49:01
42,3,741.0212407224191,2020-11-21 01:35:26
56,0,833.0854535613263,2019-10-10 16:48:15
60,4,618.1398762981632,2019-06-15 16:23:18
86,3,316.37872961974443,2020-10-07 12:32:05
36,0,726.7621565173899,2019-10-09 21:07:03
25,2,698.8035144816189,2019-04-19 16:32:46
80,0,346.1499832422887,2020-02-26 13:18:58
77,4,711.7268764578613,2019-05-13 20:15:05
92,2,7.771206094163575,2019-03-01 07:31:43
7,4,282.39912655672975,2020-10-20 01:33:35
19,3,728.8311252963832,2019-07-27 18:51:43
4,4,296.64517708195194,2019-11-16 06:06:13
36,4,96.32676821298689,2019-08-06 07:35:58
2,4,409.6948445183171,2019-08-14 21:54:21
39,2,719.7819014451164,2019-09-19 18:46:10
0,0,868.3922551786997,2019-08-13 17:52:08
73,3,570.8087684279781,2019-03-18 13:19:52
14,1,715.1246091672601,2019-05-28 08:00:02
44,0,199.39139259660595,2020-05-15 23:11:23
29,3,740.0853278997253,2020-07-20 03:03:34
27,3,992.2981260609644,2019-02-05 05:44:23
35,3,452.78334168604204,2020-03-07 21:37:53
19,1,301.28510409974405,2020-05-10 04:52:35
58,1,627.1909044407773,2019-01-09 19:51:09
82,0,397.17671763635474,2020-04-24 07:21:07
43,3,528.1319206626879,2019-12-06 22:27:04
28,4,605.6556005165297,2019-05-04 14:12:50
71,3,427.41253442707756,2020-04-05 05:13:29
15,2,363.2151600102038,2019-11-12 00:06:13
82,4,520.5852734916085,2020-08-12 01:52:36
11,0,271.7759030318184,2019-02-02 08:08:31
77,0,983.5970321962974,2019-09-07 01:41:25
13,0,314.97589768126187,2020-08-16 09:23:42
27,0,872.122384573289,2020-04-23 00:23:04
13,4,824.4115755680226,2019-12-14 04:55:44
51,1,775.1802352272553,2019-04-12 04:30:17
3,3,346.5956965840792,2019-07-12 08:26:27
23,3,667.4389417856553,2019-04-13 05:17:33
63,3,227.98901169093946,2020-10-21 13:59:48
62,0,485.0364063183019,2020-12-10 17:34:37
93,3,567.7593729920656,2020-06-18 17:59:04
97,0,574.1745956083203,2019-03-05 04:09:36
88,2,681.803428389636,2020-05-14 01:10:56
84,4,417.27124882856566,2019-03-01 20:10:05
23,3,394.34754893116497,2019-12-09 19:38:02
77,2,510.4879133913147,2019-05-19 07:15:39
45,1,324.0979036440666,2020-03-06 23:49:30
30,3,607.6564249808948,2019-03-16 17:09:12
90,4,795.6029385015819,2019-08-05 02:54:39
40,4,206.46508168944183,2020-03-23 18:13:05
32,1,708.744779618541,2020-07-17 03:54:38
52,1,915.9604019337635,2019-09-21 15:38:50
83,3,456.27266048641525,2020-03-16 06:24:57
43,4,380.5840499946324,2020-12-17 04:58:50
34,4,535.6126512675834,2020-11-07 18:13:49
98,1,986.8104489371312,2019-04-03 02:35:19
70,2,736.7581938201782,2020-06-02 11:28:36
21,3,519.4726512270956,2020-12-27 20:34:33
99,3,723.5316470724947,2020-07-23 17:16:36
88,2,244.761191976659,2020-03-01 03:56:44
8,4,850.8951666607035,2019-03-21 22:56:35
68,1,361.50866860282525,2019-12-21 12:33:28
20,0,71.28706958515745,2019-09-03 05:31:19
26,3,682.7963009084444,2020-08-02 02:25:01
19,0,248.07642832896556,2019-01-02 12:26:41
50,0,379.5061695777885,2019-05-15 07:02:21
56,2,751.2702800288249,2020-02-12 10:20:52
52,1,751.4575271284269,2020-04-18 05:03:32
80,1,676.8877371639877,2020-08-19 08:15:48
55,2,91.88401205165697,2020-03-25 20:08:12
58,4,791.7768336779166,2019-12-26 13:56:46
52,3,174.91308734921705,2019-03-14 11:57:31
16,3,823.9457813825752,2020-09-19 14:41:56
49,3,577.0369284699306,2019-03-02 15:18:08
99,1,258.7290853416698,2020-01-23 18:53:35
32,4,89.17293203967802,2020-12-10 20:56:02
62,3,504.9145385003015,2019-06-09 21:57:59
43,3,305.6703072220591,2020-09-14 19:49:45
70,2,440.44581191737996,2020-01-12 04:12:10
2,3,697.5521162228043,2019-10-13 12:17:45
18,1,436.806390558112,2019-11-09 03:21:18
42,1,973.0959246324013,2019-05-09 19:02:49
10,1,13.588747426872466,2020-07-26 16:27:27
85,3,198.48637704914302,2019-03-15 05:30:26
9,1,345.3145571208508,2020-01-18 14:51:35
89,3,107.53079348312683,2019-06-01 03:04:33
76,3,969.2804898966989,2019-01-13 08:58:02
7,2,780.9669235267344,2019-02-04 08:40:35
26,4,816.7913219423867,2019-11-13 07:24:00
57,2,554.7751455261051,2020-07-08 07:41:11
44,1,873.842351387852,2019-04-14 02:36:02
5,3,803.3647850868875,2019-09-15 16:39:05
33,2,963.3808317635874,2019-02-14 19:08:24
15,2,406.54203340153316,2019-01-05 18:03:56
85,0,116.2438773733053,2020-01-11 07:21:26
20,3,99.25584603534891,2020-12-06 13:05:47
45,2,461.91858616049416,2020-06-05 18:40:53
84,2,321.79137420559704,2020-12-12 01:44:51
68,2,739.4519922404502,2020-06-28 00:59:40
30,1,310.77399528987144,2020-05-27 23:07:23
60,0,528.8283233759613,2020-08-15 16:42:35
45,1,989.4477280951669,2020-10-02 08:25:39
55,0,889.693205186283,2019-03-06 12:17:43
